"GUID","Product Name","Product Description","NetVolume (m³)","NetWeight (kg)","OuterSurfaceArea (mm²)","Area (mm²)","Volume (m³)","Area per tons (mm²)","Net surface area (mm²)","Volume (m³)","Weight (kg)","CenterOfGravityX (mm)","CenterOfGravityZ (mm)","CenterOfGravityY (mm)","Height (mm)","Length (mm)","Width (mm)"
"2A8ITcnoP7vAdhypD2pGal","BEAM","L55*5","0.0010315988328922715","8.1","433339.03473591304","433339.03473591304","0.0010315988328922715","53512000","433000.00000000006","0.001","8.1","2951.810989117585","7998.564678607193","744.0131299285281","55","1965","55"
"17DtgBv4rE9wGNwniSGQlG","BEAM","L55*5","0.0010315988328922715","8.1","433339.03473591304","433339.03473591304","0.0010315988328922715","53512000","433000.00000000006","0.001","8.1","744.0131299285281","7998.564678607193","1515.1890095019999","55","1965","55"
"220SeTkmv1T933Ok0$M7A5","BEAM","L55*5","0.0010315988328922715","8.1","433339.03473591304","433339.03473591304","0.0010315988328922715","53512000","433000.00000000006","0.001","8.1","1515.1890095019999","7998.564678607193","3722.9868700484662","55","1965","55"
"2OILWkLKD8q8rNW6m8wT6U","BEAM","L55*5","0.0010315988328922715","8.1","433339.03473591304","433339.03473591304","0.0010315988328922715","53512000","433000.00000000006","0.001","8.1","3722.9868700484662","7998.564678607193","2951.810989117585","55","1965","55"
"0t2ATioEP0bBf_OyqAm5qU","BEAM","L35*4","0.00013704717946529216","1.0758203587904296","72576.0685931271","73177.5986754516","0.00013704717946529216","64887000","72000.00000000001","0","1.12","2233.441722046017","27405.447986054995","1967.545936696686","35","533.6","35"
"0JdBJUp6DDdAGbiMoYUTvs","BEAM","L35*4","0.00013704717946529216","1.0758203587904296","72576.0685931271","73177.5986754516","0.00013704717946529216","64887000","72000.00000000001","0","1.12","2233.441722046017","27405.447986054995","2499.389042920454","35","533.6","35"
"1DU27gu4T4_g8V0WuOesX0","BEAM","L35*4","0.00013704717946529216","1.0758203587904296","72576.0685931271","73177.5986754516","0.00013704717946529216","64887000","72000.00000000001","0","1.12","2499.4170360391186","27405.447986054995","2233.441722046017","35","533.6","35"
"1x4FHkWBr5lRvFEf9GCyQG","BEAM","L35*4","0.00013704717946529216","1.0758203587904296","72576.0685931271","73177.5986754516","0.00013704717946529216","64887000","72000.00000000001","0","1.12","1967.545936696686","27405.447986054995","2233.5199479610255","35","533.6","35"
"2EB3baakXD5ekzAtwkEFYr","BEAM","L45*4","0.000566185278221266","4.44455443403757","286384.40575443016","296947.73860422475","0.000566185278221266","63512000","297000.00000000006","0.001","4.5","2224.5614050122444","18783.422533507295","2846.2252617632616","45","1645.9","45"
"2bf2kpIUn36hkaFVMXqFoN","BEAM","L45*4","0.000566185278221266","4.44455443403757","286384.40575443016","296947.73860422475","0.000566185278221266","63512000","297000.00000000006","0.001","4.5","2242.438594987755","18783.422533507295","1620.774738236738","45","1645.9","45"
