Plate_GUID,Assembly_GUID,Assembly_Name,Assembly_Tag,bolt_count
0iSBt9UJH7jvsf_F1KvGFW,2uZzKa4DnFkB13_x6mpy_E,BEAM,A/213,6
2EZb7srIH4yAbQzeWrM$ER,26yjIRqgrExPjYEX7CqsM5,BEAM,A/108,5
0KPDpnef56UwwBsbvr2hy5,3ehTwdmF93BBado4jVuTEK,BEAM,A/276,10
3TgApr4x11w87JhJDbTthc,2xKa43uYbBg9QjYDvAoZxA,BEAM,A/109,6
2jg4pOVh13fh8g79cTcybi,0nb0lk0f18mgTJIiuyk_$I,BEAM,A/182,26
2_xmI_IbX1xPBA3eeiRf7l,0nb0lk0f18mgTJIiuyk_$I,BEAM,A/182,26
3iFiA0ljjFEBpC5H6bmlWJ,0nb0lk0f18mgTJIiuyk_$I,BEAM,A/182,26
2K255N5gnCrgtZ9mxLllUl,0nb0lk0f18mgTJIiuyk_$I,BEAM,A/182,26
13IzaFZPrEdQaR1L7Gx8Mf,0nb0lk0f18mgTJIiuyk_$I,BEAM,A/182,26
1TrpLf_mzEyh3eSWr14tcb,0nb0lk0f18mgTJIiuyk_$I,BEAM,A/182,26
18b7nIBgnEfvQ_1ocyAxLK,0nb0lk0f18mgTJIiuyk_$I,BEAM,A/182,26
0kzK1HQEX5fx4FmjNfUN1k,0nb0lk0f18mgTJIiuyk_$I,BEAM,A/182,26
2mzqIk$1r8$v0N78N$oHtF,0nb0lk0f18mgTJIiuyk_$I,BEAM,A/182,26
3yl3W407L1xgGV0elY0ufo,0nb0lk0f18mgTJIiuyk_$I,BEAM,A/182,26
2ZyM9VOsb1uxxDrgMCy7eu,0nb0lk0f18mgTJIiuyk_$I,BEAM,A/182,26
0Rgh4Slnz5jPUUZXZiKfT_,3KE0BzUqj7Kvxt1a4tqQ4l,BEAM,A/101,26
1wA$fW9NzCDQDQhcHEZCl8,3KE0BzUqj7Kvxt1a4tqQ4l,BEAM,A/101,26
1Y_6Q6uebFxwCHSAi7Y1mi,3KE0BzUqj7Kvxt1a4tqQ4l,BEAM,A/101,26
14g914_On2UfkxDpsCUVAQ,3KE0BzUqj7Kvxt1a4tqQ4l,BEAM,A/101,26
3MljWz5uT8cg0CccAwW3QW,3KE0BzUqj7Kvxt1a4tqQ4l,BEAM,A/101,26
2wURpYelHCcuyov0JYTaAQ,3KE0BzUqj7Kvxt1a4tqQ4l,BEAM,A/101,26
2dE3unJqX3CgPqR7UrWNfx,3KE0BzUqj7Kvxt1a4tqQ4l,BEAM,A/101,26
3KNDDJkmP13RBaA6luHnWN,3KE0BzUqj7Kvxt1a4tqQ4l,BEAM,A/101,26
13yrmFGWj8SQt2YkAqN8$v,3KE0BzUqj7Kvxt1a4tqQ4l,BEAM,A/101,26
1gmtw9DJr7kg0LA4RtwBTp,3PDRU6xwv6wRunBJf87EBG,BEAM,A/152,7
0FIhMfHTj7ax4MJ4D74LUx,1uii30ICD34RkqJC9NYNpp,BEAM,A/151,7
3Vv2HgeI92w9za227kzBup,3cpcL38Zv0mgIZSwuhQk54,BEAM,A/151,7
2W29w0DJDFbgStQOcjcihV,0iUfB81srBqhAKOWJGBBRY,BEAM,A/281,1
33Ct7kStX5e8acvj7JfwkI,3xdjPiUmDBtgVkEalq_GO1,BEAM,A/281,1
0rQ3FETLrDLAEashYG0n1c,1RV5qA_oH2thjNxIGUxYem,BEAM,A/76,6
1egud5dwH47fYAnqB3rfug,3jZPfbRXn3ngIMAkCqeSaW,BEAM,A/84,15
15O2m3duTBteUY_zG$3da1,3jZPfbRXn3ngIMAkCqeSaW,BEAM,A/84,15
14nCp_P2bByuPHW8UTWNjl,3jZPfbRXn3ngIMAkCqeSaW,BEAM,A/84,15
3_rhGZ$Kb0jxfRMTymlLct,3jZPfbRXn3ngIMAkCqeSaW,BEAM,A/84,15
1agqHuApLEzhn9TTndIEA9,3jZPfbRXn3ngIMAkCqeSaW,BEAM,A/84,15
3O5cWpm_PDRP8FcIOeXxAQ,3jZPfbRXn3ngIMAkCqeSaW,BEAM,A/84,15
2goWry2Nv5merxOau3wXmK,3jZPfbRXn3ngIMAkCqeSaW,BEAM,A/84,15
2uwVoKQ6jA8OTF0Vse43Qo,3jZPfbRXn3ngIMAkCqeSaW,BEAM,A/84,15
2THB1AKgH1XAkqlAqriWtH,3jZPfbRXn3ngIMAkCqeSaW,BEAM,A/84,15
0i3AmeGrf0LO4rxO7QwzSs,3jZPfbRXn3ngIMAkCqeSaW,BEAM,A/84,15
05gQapjszFlQ7j$6uebRIa,3jZPfbRXn3ngIMAkCqeSaW,BEAM,A/84,15
3vh$lExc13pvQGiJ12YzNm,3bby0XVSn18eMr9nsKtfus,BEAM,A/76,6
0_zcUICbH6R92w8r12vJOG,1rUc7HtsnEoe$Kr_lIU4SC,BEAM,A/154,6
1QBsaj3LHA5gMx0cmSoSaA,2ESYI2mh50ZwD3Bby736qc,BEAM,A/78,1
2PNOu6CAn0hQQDAqbzpYjx,3eHKbvcwTDSf_bFYSDzSMT,BEAM,A/78,1
3oa$f$imn7bAlrrRdpNY5y,0iPVZwtgXAJ8MdC6UZ6gH9,BEAM,A/87,14
12$L0DC252iAi9AnaAb4rQ,0iPVZwtgXAJ8MdC6UZ6gH9,BEAM,A/87,14
0jKed6dWz7oAxLj1Jke$il,0iPVZwtgXAJ8MdC6UZ6gH9,BEAM,A/87,14
2LGkYGSD13UgpIjM1MkL0t,0iPVZwtgXAJ8MdC6UZ6gH9,BEAM,A/87,14
0TNQ_t19XEYuY$pyF9BkTS,0iPVZwtgXAJ8MdC6UZ6gH9,BEAM,A/87,14
13g3Gh6jT6i8JSFsT330mR,0iPVZwtgXAJ8MdC6UZ6gH9,BEAM,A/87,14
14lzUZNQz8Pf3cq$7dM5EE,0iPVZwtgXAJ8MdC6UZ6gH9,BEAM,A/87,14
2iz_dcRHnFYxhafuS5aYW4,0iPVZwtgXAJ8MdC6UZ6gH9,BEAM,A/87,14
0R3puD8vf0PhpWkGlAF4IJ,0iPVZwtgXAJ8MdC6UZ6gH9,BEAM,A/87,14
2tGLC$xZb8Wh4KF5O_UPw8,3VsqSyKK58_gMVZMOAYFYI,BEAM,A/10,1
3NHyM_NdDBa9_K$EH6DxvE,0z32ehyc57bPJQK2jiDpEZ,BEAM,A/10,1
0dkpE2BeX8ngBXW0VjXEFI,1VnK1k55T5YxkKvIM8QJYG,BEAM,A/10,1
26$jwYnsb3AfGtsmVUZOIM,2Sya7E8mXFxewYhO9ixsrR,BEAM,A/10,1
0VhnbGyx954h$KIsZ0oI03,0SEfs7bdL89fedgkM$xqIs,BEAM,A/10,1
09C5IAZWL3uvpta0FIB2SM,05iPCLv_LENgg3v93OCZWa,BEAM,A/10,1
39ymFT1vn3aOMxO628ecZa,2sjzz_i7v80R5MlIHU3Z_p,BEAM,A/10,1
1btSN0n698i9a1JOVgcYgv,2oKzsyQs976Q_et7V8N5VT,BEAM,A/10,1
3RR_Q9rkv9efxPA4L0dV$R,1slFlI$g5EduggXxpRZ3Ed,BEAM,A/268,1
3431C0T3v21QfAvOkKvE5Q,2cZ1BrjBr6Yfi3puqtjJbi,BEAM,A/10,1
2bnK_0Cq1AuQ_PPpp5IyVQ,1eAkJVmL95SgVC3Nwc4X1r,BEAM,A/10,1
30i7gImwz41x7lCcQfHd$Y,0KtddYzXvA_R_Vnl4Yu5TI,BEAM,A/78,1
3HWCRCptTEhfkJi3ylJ6Mx,0yRYHKdA19GRoi2frbIKaY,BEAM,A/78,1
3EYeUy1AXDm8WMac2CCU6C,04Zco$Ba1CGP7NFAAKVTvC,BEAM,A/10,1
1wcJdIWMf7MOdgbHdD$C6h,1GTQo7hpn4AQynMh7LnOf1,BEAM,A/268,1
2qRGKQcvrEWup6KyHRY9Rf,3zt5qVz3zDphZtMdd5pZ7A,BEAM,A/268,1
20HeeRnbX2h8OguZhKopu6,1_kAKg9d95wAm7smGThztZ,BEAM,A/10,1
3TR5zkgFDDreBAGafKomJE,0nO7GJNRHF7fO8Zp38Wgnh,BEAM,A/10,1
28Z87SiYz3wg_szHrSMuWJ,0ExOhhtfX6sha08yIPCejv,BEAM,A/78,1
3cA0fhz6n9gwnjAi0U0ytq,2o8EQ_UF96WAD9BQA1uRYj,BEAM,A/78,1
014O9XEXz05B0fT8r9Vqs8,1jrTf_s619$O3IxS1xXHPv,BEAM,A/10,1
2LNQ$tMdbAkAbr16lFAIFj,1ObcNtbdH9KwtJ16NLzMLf,BEAM,A/10,1
0vqkge_ab4QPa4PIr09D3J,3jd50pdiP4$PJdfv5XZKD7,BEAM,A/10,1
1AqBf9HRTAqgbtkPa3Kuem,3p9Ac9tmTBJfpl9p9hQCwf,BEAM,A/10,1
1spov1m$P8APgcgAtncEsv,1BDDqvUA17FfPMexnrPSPl,BEAM,A/10,1
0pPTjQyWv9cQin$pNJJsTg,3fhYU5l558JhEmYSAKOH4L,BEAM,A/10,1
3Fi4aTPsnCbuvBqEGlBmsb,1LktCiOXX6txpKPeUo6SQt,BEAM,A/10,1
1cBFci7Xr8DegfNxHS6DSw,32NNY5sFfCtvk3Z4UTn7uj,BEAM,A/10,1
0lk5ITqeL2Ff5j7gY7ey8T,3zc3sEkGr6MPRosEHTV4vZ,BEAM,A/10,1
0ohzyfUurDL9NTyskw$Ii$,1zoqz3xOfCWvOXtgokgt6x,BEAM,A/10,1
21FU_pbsb86B56Qbe4OarS,3P1U_TmKj6iRvdbIFwd8Dt,BEAM,A/10,1
3pHoszDPf09Qt5cmzYwqF0,1OdmkNqzL3vOM_hDyyLDi1,BEAM,A/10,1
1sFnFf$ab4PBTrD7OO3C_U,3g9vyf4_PDNwFgZXjZabEV,BEAM,A/10,1
0RsJz0SO53GRo7ZUR0NY7t,1OrCFbSSH9S833nVJC4qXW,BEAM,A/10,1
2dFyMIwAX8IA7oCkDqH_2a,37s0SEV1H9H820syGx6Nw5,BEAM,A/10,1
04e3P1Oz148BhFNC0hOCtc,2coTo0HvjEquJxrJw4crRN,BEAM,A/10,1
0jmFRehU91kBaMiHLGOAwM,3XRqeWt0j3X9FHHRz3zMCz,BEAM,A/10,1
3JuktNvrH7LhCIDMgL6ACY,25KJHbjD5CJRrHeHAdjwHJ,BEAM,A/10,1
3PnBDJcGL4eupOYhBh1aGU,3$I3y1tsr1_hsbzIk$EzaV,BEAM,A/10,1
2ndemdlKDEwuj55RDASF6K,0yB8eLLiLE0RRFnDJ3cuFX,BEAM,A/10,1
