GUID,Feature,AnomalyFlag,Scores
393IM_Ze9AeAn3QgvG39dv,1,1,0.0
3R_xeB7RvDhfdZrhgU3b31,1,1,0.0
13bDBB2X96MvZlPspF6tUX,1,1,0.0
2MaCPIopLEwAH4GqMXKdX3,1,1,0.0
2KrK1h3i96OB6d2QfL7Yl9,1,1,0.0
2EoeSWS4DDfPDvhDxNTTTl,1,1,0.0
0Zqs0$FuHFbBsSoUfmFr77,1,1,0.0
1JjaqgY8vBdwKiXqa_eTf$,1,1,0.0
2UDJrzMiLDBA3oWLrRk5r6,1,1,0.0
2v9uzK_DjDkPjLeZ5h_Jn3,1,1,0.0
2ju9wSrW1Aq9QfPwnF_xbF,1,1,0.0
2Mkc6Vnuv8eA0W2HT8EPOC,1,1,0.0
0RHPMB5pz45RbHFqvPu8M1,1,1,0.0
1ON9iARd10SBwwc_d6$lXw,1,1,0.0
20b6eNbSH40RPPH_ybNO2X,1,1,0.0
19B9NsX5978vOKa_nfMyHf,1,1,0.0
0RQ6aAd8n4qRMEUCPsSxW6,1,1,0.0
18xEwcB5z0DegmguyJepvP,1,1,0.0
0lmxP5HSfAERMUjd6odDAL,1,1,0.0
1X8NSFDK95Ivm$G1XCe80z,1,1,0.0
1gPnEi8DrFbezZ4oahCGyQ,1,1,0.0
1jy3423AzEcwOHN79dX2Sq,1,1,0.0
0dHVWv5zv5p9pSpLgviuCu,1,1,0.0
2R6ufc0OX9FBj4LHmsxJaX,1,1,0.0
13oo60QqD1$urIn8OkH829,1,1,0.0
1l7FZh3RvCGuYuaBkMt5wG,1,1,0.0
2eCRGiDoTAUOWVRwe3B9Sz,1,1,0.0
2G9h9Q1bPBzvYsDnTQkvlR,1,1,0.0
2W2g0Ds5X79QDZrSP5zXe1,1,1,0.0
3XWCdmbkrEBA$QyQSa__zW,1,1,0.0
3kFLqp1qX67efwaKw54TrS,1,1,0.0
0YfTyO2Fn5AhMRakef0Puj,1,1,0.0
1hQYcXTUfEaQviwcAKXCT6,1,1,0.0
2E0Zk_3Zv3axt$JF8ypzHZ,1,1,0.0
208Y7ta0HEDeNqaKb$5yo1,1,1,0.0
3BWzQJSHn72AnAHELdSYja,1,1,0.0
0b0Mjp1ffAkv_yYB0Es4sc,1,1,0.0
2v8qKFJ7T2sfnsMFVSyDUw,1,1,0.0
1qy1YDnsH689bWwl2Ql208,1,1,0.0
3$I43FDO16zfH5ZzLQqHff,1,1,0.0
2Ze2azynvCCOLzPLl9Ecj4,1,1,0.0
1GEfk5DCP8fhrkOSIAk3u8,1,1,0.0
3eENGwjxT16fzZQ44vJlil,1,1,0.0
23d7yflrb8h9016nacHWMT,1,1,0.0
1udRBQfun5VeUw60iJXoyS,1,1,0.0
193uxPk7180hxSucBkf5zc,1,1,0.0
1fGLdZNFn3hfHDjOL1huoN,1,1,0.0
33YBU3itz5Zwv8LkqH8K1A,1,1,0.0
1NlNmFgk1A_xJQ0_ftC9z1,1,1,0.0
1aouZu9YrCB8op$agfjFfd,1,1,0.0
0dTeavnYv2XA6fJgKWwX_z,1,1,0.0
32z1dLJ0PD3Oloy$oVY0I$,1,1,0.0
3qWJJUm8T70hAzmdqWAZYd,1,1,0.0
0amoLCSx93FA9hY7kp06Av,1,1,0.0
0s0eiHnr57pBIy9OLxbXhX,1,1,0.0
3vdygfG5v73wG_42o1ktpt,1,1,0.0
0daZSyvaTEIOwQyigzGU3U,1,1,0.0
3j7MsLpgP7mwHnOrDBZk78,1,1,0.0
39a8pZqeb58ucLWrNyyl9p,1,1,0.0
1rzSSPVPD3Sv7mlQk5syNB,1,1,0.0
0x96vKwgjFlhvcYhSqMYZO,1,1,0.0
3Ckf20n55BsP0EeUr_eEZC,1,1,0.0
1cDvI6k312UQDYAAUYRL8A,1,1,0.0
