GUID,NetVolume (m³),NetWeight (kg),OuterSurfaceArea (mm²),Area (mm²),Volume (m³),Area per tons (mm²),Net surface area (mm²),Volume (m³).1,Weight (kg),CenterOfGravityX (mm),CenterOfGravityZ (mm),CenterOfGravityY (mm),Height (mm),Length (mm),Width (mm),AnomalyFlag,Scores
2A8ITcnoP7vAdhypD2pGal,0.0010315988328922,8.1,433339.034735913,433339.034735913,0.0010315988328922,53512000.0,433000.00000000006,0.001,8.1,2951.810989117585,7998.564678607193,744.0131299285281,55.0,1965.0,55,1,0.1242536661793231
17DtgBv4rE9wGNwniSGQlG,0.0010315988328922,8.1,433339.034735913,433339.034735913,0.0010315988328922,53512000.0,433000.00000000006,0.001,8.1,744.0131299285281,7998.564678607193,1515.189009502,55.0,1965.0,55,1,0.1248387841526018
220SeTkmv1T933Ok0$M7A5,0.0010315988328922,8.1,433339.034735913,433339.034735913,0.0010315988328922,53512000.0,433000.00000000006,0.001,8.1,1515.189009502,7998.564678607193,3722.986870048466,55.0,1965.0,55,1,0.112945588801964
2OILWkLKD8q8rNW6m8wT6U,0.0010315988328922,8.1,433339.034735913,433339.034735913,0.0010315988328922,53512000.0,433000.00000000006,0.001,8.1,3722.986870048466,7998.564678607193,2951.810989117585,55.0,1965.0,55,1,0.1250071404283196
0t2ATioEP0bBf_OyqAm5qU,0.0001370471794652,1.0758203587904296,72576.0685931271,73177.5986754516,0.0001370471794652,64887000.0,72000.00000000001,0.0,1.12,2233.441722046017,27405.447986054995,1967.545936696686,35.0,533.6,35,1,0.1780403215643972
0JdBJUp6DDdAGbiMoYUTvs,0.0001370471794652,1.0758203587904296,72576.0685931271,73177.5986754516,0.0001370471794652,64887000.0,72000.00000000001,0.0,1.12,2233.441722046017,27405.447986054995,2499.389042920454,35.0,533.6,35,1,0.1786589967080901
1DU27gu4T4_g8V0WuOesX0,0.0001370471794652,1.0758203587904296,72576.0685931271,73177.5986754516,0.0001370471794652,64887000.0,72000.00000000001,0.0,1.12,2499.4170360391186,27405.447986054995,2233.441722046017,35.0,533.6,35,1,0.1784356477149918
1x4FHkWBr5lRvFEf9GCyQG,0.0001370471794652,1.0758203587904296,72576.0685931271,73177.5986754516,0.0001370471794652,64887000.0,72000.00000000001,0.0,1.12,1967.545936696686,27405.447986054995,2233.519947961025,35.0,533.6,35,1,0.179440619211375
2EB3baakXD5ekzAtwkEFYr,0.0005661852782212,4.44455443403757,286384.40575443016,296947.73860422475,0.0005661852782212,63512000.0,297000.00000000006,0.001,4.5,2224.5614050122444,18783.42253350729,2846.2252617632616,45.0,1645.9,45,1,0.1745525377547727
2bf2kpIUn36hkaFVMXqFoN,0.0005661852782212,4.44455443403757,286384.40575443016,296947.73860422475,0.0005661852782212,63512000.0,297000.00000000006,0.001,4.5,2242.438594987755,18783.42253350729,1620.774738236738,45.0,1645.9,45,1,0.1727966778799978
